ID,Διαστάσεις
0,"(512, 512)"
1,"(512, 512)"
2,"(512, 512)"
3,"(512, 512)"
4,"(512, 512)"
5,"(512, 512)"
6,"(512, 512)"
7,"(512, 512)"
8,"(512, 512)"
9,"(512, 512)"
10,"(512, 512)"
11,"(512, 512)"
12,"(512, 512)"
13,"(512, 512)"
14,"(512, 512)"
15,"(512, 512)"
16,"(512, 512)"
18,"(512, 512)"
19,"(512, 512)"
20,"(512, 512)"
21,"(512, 512)"
22,"(512, 512)"
23,"(512, 512)"
24,"(512, 512)"
25,"(512, 512)"
26,"(512, 512)"
27,"(512, 512)"
28,"(512, 512)"
29,"(512, 512)"
30,"(512, 512)"
31,"(512, 512)"
32,"(512, 512)"
33,"(512, 512)"
34,"(512, 512)"
35,"(512, 512)"
36,"(512, 512)"
37,"(512, 512)"
38,"(512, 512)"
39,"(512, 512)"
40,"(512, 512)"
41,"(512, 512)"
42,"(512, 512)"
43,"(512, 512)"
44,"(512, 512)"
45,"(512, 512)"
46,"(512, 512)"
47,"(512, 512)"
48,"(512, 512)"
49,"(512, 512)"
50,"(512, 512)"
51,"(512, 512)"
52,"(512, 512)"
53,"(512, 512)"
54,"(512, 512)"
55,"(512, 512)"
56,"(512, 512)"
57,"(512, 512)"
58,"(512, 512)"
59,"(512, 512)"
60,"(512, 512)"
61,"(512, 512)"
62,"(512, 512)"
63,"(512, 512)"
65,"(512, 512)"
66,"(512, 512)"
67,"(512, 512)"
68,"(512, 512)"
69,"(512, 512)"
70,"(512, 512)"
71,"(512, 512)"
72,"(512, 512)"
73,"(512, 512)"
74,"(512, 512)"
75,"(512, 512)"
76,"(512, 512)"
77,"(512, 512)"
78,"(512, 512)"
79,"(512, 512)"
80,"(512, 512)"
81,"(512, 512)"
82,"(512, 512)"
83,"(512, 512)"
84,"(512, 512)"
85,"(512, 512)"
86,"(512, 512)"
87,"(512, 512)"
88,"(512, 512)"
89,"(512, 512)"
90,"(512, 512)"
91,"(512, 512)"
92,"(512, 512)"
93,"(512, 512)"
94,"(512, 512)"
95,"(512, 512)"
96,"(512, 512)"
97,"(512, 512)"
98,"(512, 512)"
99,"(512, 512)"
100,"(512, 512)"
101,"(512, 512)"
102,"(512, 512)"
104,"(512, 512)"
105,"(512, 512)"
106,"(512, 512)"
107,"(512, 512)"
108,"(512, 512)"
109,"(512, 512)"
110,"(512, 512)"
111,"(512, 512)"
112,"(512, 512)"
113,"(512, 512)"
114,"(512, 512)"
115,"(512, 512)"
116,"(512, 512)"
117,"(512, 512)"
118,"(512, 512)"
119,"(512, 512)"
120,"(512, 512)"
121,"(512, 512)"
122,"(512, 512)"
123,"(512, 512)"
124,"(512, 512)"
125,"(512, 512)"
126,"(512, 512)"
127,"(512, 512)"
128,"(512, 512)"
129,"(512, 512)"
130,"(512, 512)"
134,"(512, 512)"
135,"(512, 512)"
136,"(512, 512)"
137,"(512, 512)"
138,"(512, 512)"
139,"(512, 512)"
141,"(512, 512)"
142,"(512, 512)"
143,"(512, 512)"
144,"(512, 512)"
145,"(512, 512)"
146,"(512, 512)"
147,"(512, 512)"
148,"(512, 512)"
149,"(512, 512)"
151,"(512, 512)"
155,"(512, 512)"
156,"(512, 512)"
157,"(512, 512)"
158,"(512, 512)"
159,"(512, 512)"
160,"(512, 512)"
161,"(512, 512)"
162,"(512, 512)"
163,"(512, 512)"
164,"(512, 512)"
165,"(512, 512)"
166,"(512, 512)"
168,"(512, 512)"
169,"(512, 512)"
170,"(512, 512)"
171,"(512, 512)"
175,"(512, 512)"
176,"(512, 512)"
177,"(512, 512)"
178,"(512, 512)"
179,"(512, 512)"
180,"(512, 512)"
181,"(512, 512)"
182,"(512, 512)"
183,"(512, 512)"
184,"(512, 512)"
185,"(512, 512)"
186,"(512, 512)"
187,"(512, 512)"
188,"(512, 512)"
189,"(512, 512)"
190,"(512, 512)"
191,"(512, 512)"
196,"(512, 512)"
197,"(512, 512)"
198,"(512, 512)"
199,"(512, 512)"
200,"(512, 512)"
201,"(512, 512)"
205,"(512, 512)"
206,"(512, 512)"
207,"(512, 512)"
